[COORDINATES]
;;Node           X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
21776            504831.012         320805.162        
21756            504835.359         320861.072        
22059            504817.150         321722.740        
22058            504814.520         321762.548        
21775            504775.642         321772.058        
21507            504783.690         321686.431        
21509            504792.030         321548.062        
21552            504793.530         321521.746        
21554            505017.599         320612.159        
21556            504834.831         321444.054        
21686            504815.780         320734.500        
21688            504857.299         320725.900        
21695            504840.011         321363.985        
21697            504812.901         321218.818        
21757            504834.111         320836.179        
21761            504829.541         321524.548        
21506            504780.012         321726.468        
21778            504870.230         320836.795        
21812            505069.939         320603.869        
21828            504868.439         320932.070        
22012            504809.619         321282.171        
22014            504824.960         321042.509        
22054            504801.631         321400.585        
22057            504828.358         320655.048        
22011            504806.921         321323.645        
22056            504787.719         320674.219        
22159            504797.430         321471.626        
22160            504869.450         320635.630        
21555            504832.160         321485.295        
21694            504837.431         321402.758        
22862            504826.961         321002.239        
21758            505169.080         320616.979        
21827            504866.370         320961.599        
22979            504830.461         320957.605        
22980            504918.830         320627.809        
22981            504842.611         321324.895        
22983            504860.691         321044.335        
23108            504786.810         321640.262        
22055            504834.330         320892.444        
21553            504968.210         320619.979        
22863            505119.509         320610.418        
23199            504862.851         321010.914        
21777            504871.359         320862.005        
21508            504787.810         321618.304        
23868            504824.320         321604.402        
21760            504827.771         321550.169        
21687            504865.469         320762.090        
22075            504803.729         320708.380        
23869            504826.340         321573.982        
23897            504845.211         321283.208        
23198            504832.490         320923.618        
23867            504821.760         321643.816        
23933            504854.270         321147.369        
23870            504868.721         320802.621        
22053            504799.030         321441.645        
22013            504818.470         321142.795        
23932            504818.960         321693.689        
22982            504855.371         321129.944        
21685            504824.499         320771.505        
23200            504870.560         320894.459        
25360            504843.239         320686.450        
22074            504804.071         321363.555        
21696            504811.581         321238.863        
T2               506772.751         321929.854        
T3               506779.331         322679.250        
T4               506586.800         322823.076        
T5               506438.770         322939.016        
T7               505744.612         322939.178        
T8               505470.918         322978.349        
T9               505470.419         323445.733        
T10              504906.884         322978.646        
T11              504835.174         322978.934        
T12              507070.927         323337.150        
T13              506575.916         322835.375        
T14              507072.363         323352.831        
T15              507176.746         323215.065        
T16              507217.102         323119.849        
T17              507256.036         321664.869        
T18              507256.052         321633.495        
T19              504868.663         323523.483        
T20              504761.613         322801.014        
T21              504755.583         322720.476        
T22              504758.054         322630.473        
T23              504783.244         322242.631        
T27              504821.293         323486.342        
T28              504722.528         322784.102        
T29              504725.282         322561.297        
T30              504746.250         322241.223        
T34              504178.637         322251.314        
T35              504688.621         322249.593        
T36              504836.343         322250.754        
T37              505032.097         322248.271        
T38              505039.444         322237.333        
T39              505453.804         322917.705        
T40              505453.745         322617.059        
T41              505452.721         322281.652        
T45              506049.626         321843.102        
T46              506143.055         322151.166        
T47              506242.543         322478.853        
T48              506400.554         322065.234        
T49              506481.599         321958.351        
T51              504156.624         322250.731        
T52              504156.555         322427.614        
T53              504155.352         322712.658        
T54              504840.277         322275.576        
T55              505010.070         322275.603        
T56              505053.141         322281.656        
T57              505457.711         322228.152        
T58              505457.695         322102.602        
T59              505460.994         321774.818        
T60              505489.847         322278.651        
