[JUNCTIONS]
;;Name           Elevation  MaxDepth   InitDepth  SurDepth   Aponded   
;;-------------- ---------- ---------- ---------- ---------- ----------
21776            28.710000  5.150000   0.000000   0.000000   200.000000
21756            28.730000  5.340000   0.000000   0.000000   200.000000
22059            29.850000  4.900000   0.000000   0.000000   200.000000
22058            30.130000  4.650000   0.000000   0.000000   200.000000
21775            29.720000  5.060000   0.000000   0.000000   200.000000
21507            29.680000  5.050000   0.000000   0.000000   200.000000
21509            29.540000  4.850000   0.000000   0.000000   200.000000
21552            29.520000  4.800000   0.000000   0.000000   200.000000
21554            27.840000  4.830000   0.000000   0.000000   200.000000
21556            29.600000  4.550000   0.000000   0.000000   200.000000
21686            28.100000  5.130000   0.000000   0.000000   200.000000
21688            28.550000  5.970000   0.000000   0.000000   200.000000
21695            29.540000  4.450000   0.000000   0.000000   200.000000
21697            29.050000  4.560000   0.000000   0.000000   200.000000
21757            28.720000  5.290000   0.000000   0.000000   200.000000
21761            29.620000  4.710000   0.000000   0.000000   200.000000
21506            29.690000  5.050000   0.000000   0.000000   200.000000
21778            29.110000  4.950000   0.000000   0.000000   200.000000
21812            27.820000  4.780000   0.000000   0.000000   200.000000
21828            29.180000  5.400000   0.000000   0.000000   200.000000
22012            29.140000  4.560000   0.000000   0.000000   200.000000
22014            28.910000  5.140000   0.000000   0.000000   200.000000
22054            29.220000  4.800000   0.000000   0.000000   200.000000
22057            28.050000  5.040000   0.000000   0.000000   200.000000
22011            29.150000  4.670000   0.000000   0.000000   200.000000
22056            28.060000  5.070000   0.000000   0.000000   200.000000
22159            29.400000  4.750000   0.000000   0.000000   200.000000
22160            28.000000  5.030000   0.000000   0.000000   200.000000
21555            29.610000  4.640000   0.000000   0.000000   200.000000
21694            29.580000  4.500000   0.000000   0.000000   200.000000
22862            28.870000  5.350000   0.000000   0.000000   200.000000
21758            27.680000  3.950000   0.000000   0.000000   200.000000
21827            29.200000  5.200000   0.000000   0.000000   200.000000
22979            28.820000  5.550000   0.000000   0.000000   200.000000
22980            27.940000  5.000000   0.000000   0.000000   200.000000
22981            29.520000  4.350000   0.000000   0.000000   200.000000
22983            29.250000  4.850000   0.000000   0.000000   200.000000
23108            29.670000  4.930000   0.000000   0.000000   200.000000
22055            28.750000  5.560000   0.000000   0.000000   200.000000
21553            27.900000  4.850000   0.000000   0.000000   200.000000
22863            27.750000  3.960000   0.000000   0.000000   200.000000
23199            29.230000  5.030000   0.000000   0.000000   200.000000
21777            29.140000  5.000000   0.000000   0.000000   200.000000
21508            29.650000  4.900000   0.000000   0.000000   200.000000
23868            29.690000  4.820000   0.000000   0.000000   200.000000
21760            29.630000  4.760000   0.000000   0.000000   200.000000
21687            28.570000  5.960000   0.000000   0.000000   200.000000
22075            28.080000  5.100000   0.000000   0.000000   200.000000
23869            29.660000  4.790000   0.000000   0.000000   200.000000
23897            29.510000  4.290000   0.000000   0.000000   200.000000
23198            28.810000  5.530000   0.000000   0.000000   200.000000
23867            29.700000  4.920000   0.000000   0.000000   200.000000
23933            29.360000  4.350000   0.000000   0.000000   200.000000
23870            29.080000  4.900000   0.000000   0.000000   200.000000
22053            29.330000  4.750000   0.000000   0.000000   200.000000
22013            28.950000  4.860000   0.000000   0.000000   200.000000
23932            29.730000  5.000000   0.000000   0.000000   200.000000
22982            29.310000  4.400000   0.000000   0.000000   200.000000
21685            28.130000  5.160000   0.000000   0.000000   200.000000
23200            29.170000  5.080000   0.000000   0.000000   200.000000
25360            28.500000  5.200000   0.000000   0.000000   200.000000
22074            29.180000  4.730000   0.000000   0.000000   200.000000
21696            29.060000  4.500000   0.000000   0.000000   200.000000
T2               28.360000  3.183680   0.000000   0.000000   200.000000
T3               29.270000  5.764561   0.000000   0.000000   200.000000
T4               29.620000  6.699992   0.000000   0.000000   200.000000
T5               31.700000  4.025922   0.000000   0.000000   200.000000
T7               32.950000  4.231160   0.000000   0.000000   200.000000
T8               34.940000  3.042845   0.000000   0.000000   200.000000
T9               37.050000  2.567805   0.000000   0.000000   200.000000
T10              36.100000  3.236594   0.000000   0.000000   200.000000
T11              36.100000  3.406729   0.000000   0.000000   200.000000
T12              32.610000  3.169587   0.000000   0.000000   200.000000
T13              29.620000  6.550509   0.000000   0.000000   200.000000
T14              33.460000  2.297729   0.000000   0.000000   200.000000
T15              32.490000  2.881891   0.000000   0.000000   200.000000
T16              32.360000  2.877949   0.000000   0.000000   200.000000
T17              27.280000  2.963572   0.000000   0.000000   200.000000
