[LOSSES]
;;Link           Kentry     Kexit      Kavg       Flap Gate  Seepage   
;;-------------- ---------- ---------- ---------- ---------- ----------
21506.1          0.150000   0.015000   0.000000   NO         0         
21508.1          0.150000   0.015000   0.000000   NO         0         
21509.1          0.150000   0.015000   0.000000   NO         0         
21553.1          0.150000   0.015000   0.000000   NO         0         
21555.1          0.150000   0.015000   0.000000   NO         0         
21685.1          0.150000   0.015000   0.000000   NO         0         
21687.1          0.150000   0.015000   0.000000   NO         0         
21694.1          0.150000   0.015000   0.000000   NO         0         
21696.1          0.150000   0.015000   0.000000   NO         0         
21756.1          0.150000   0.015000   0.000000   NO         0         
21758.1          0.150000   0.015000   0.000000   NO         0         
21760.1          0.150000   0.015000   0.000000   NO         0         
21775.1          0.150000   0.015000   0.000000   NO         0         
21757.1          0.150000   0.015000   0.000000   NO         0         
21777.1          0.150000   0.015000   0.000000   NO         0         
21554.1          0.150000   0.015000   0.000000   NO         0         
21827.1          0.150000   0.015000   0.000000   NO         0         
22011.1          0.150000   0.015000   0.000000   NO         0         
22013.1          0.150000   0.015000   0.000000   NO         0         
22053.1          0.150000   0.015000   0.000000   NO         0         
22055.1          0.150000   0.015000   0.000000   NO         0         
22056.1          0.150000   0.015000   0.000000   NO         0         
22058.1          0.150000   0.015000   0.000000   NO         0         
22074.1          0.150000   0.015000   0.000000   NO         0         
22075.1          0.150000   0.015000   0.000000   NO         0         
21552.1          0.150000   0.015000   0.000000   NO         0         
22057.1          0.150000   0.015000   0.000000   NO         0         
21761.1          0.150000   0.015000   0.000000   NO         0         
21556.1          0.150000   0.015000   0.000000   NO         0         
22014.1          0.150000   0.015000   0.000000   NO         0         
22863.1          0.150000   0.015000   0.000000   NO         0         
22862.1          0.150000   0.015000   0.000000   NO         0         
22160.1          0.150000   0.015000   0.000000   NO         0         
21695.1          0.150000   0.015000   0.000000   NO         0         
22982.1          0.150000   0.015000   0.000000   NO         0         
21507.1          0.150000   0.015000   0.000000   NO         0         
23198.1          0.150000   0.015000   0.000000   NO         0         
22980.1          0.150000   0.015000   0.000000   NO         0         
21812.1          0.150000   0.015000   0.000000   NO         0         
22983.1          0.150000   0.015000   0.000000   NO         0         
23200.1          0.150000   0.015000   0.000000   NO         0         
23108.1          0.150000   0.015000   0.000000   NO         0         
23867.1          0.150000   0.015000   0.000000   NO         0         
23869.1          0.150000   0.015000   0.000000   NO         0         
23870.1          0.150000   0.015000   0.000000   NO         0         
21686.1          0.150000   0.015000   0.000000   NO         0         
23868.1          0.150000   0.015000   0.000000   NO         0         
22981.1          0.150000   0.015000   0.000000   NO         0         
23199.1          0.150000   0.015000   0.000000   NO         0         
22979.1          0.150000   0.015000   0.000000   NO         0         
23932.1          0.150000   0.015000   0.000000   NO         0         
23897.1          0.150000   0.015000   0.000000   NO         0         
21778.1          0.150000   0.015000   0.000000   NO         0         
22159.1          0.150000   0.015000   0.000000   NO         0         
21697.1          0.150000   0.015000   0.000000   NO         0         
22059.1          0.150000   0.015000   0.000000   NO         0         
23933.1          0.150000   0.015000   0.000000   NO         0         
25360.1          0.150000   0.015000   0.000000   NO         0         
21776.1          0.150000   0.015000   0.000000   NO         0         
21828.1          0.150000   0.015000   0.000000   NO         0         
21688.1          0.150000   0.015000   0.000000   NO         0         
22054.1          0.150000   0.015000   0.000000   NO         0         
22012.1          0.150000   0.015000   0.000000   NO         0         
T2.2             0.150000   0.015000   0.000000   NO         0         
T3.2             0.150000   0.015000   0.000000   NO         0         
T4.2             0.150000   0.015000   0.000000   NO         0         
T5.1             0.150000   0.015000   0.000000   NO         0         
T7.2             0.150000   0.015000   0.000000   NO         0         
T8.3             0.150000   0.015000   0.000000   NO         0         
T9.1             0.150000   0.015000   0.000000   NO         0         
T10.2            0.150000   0.015000   0.000000   NO         0         
T11.1            0.150000   0.015000   0.000000   NO         0         
T12.1            0.150000   0.015000   0.000000   NO         0         
T14.1            0.150000   0.015000   0.000000   NO         0         
T19.1            0.150000   0.015000   0.000000   NO         0         
T20.1            0.150000   0.015000   0.000000   NO         0         
T21.1            0.150000   0.015000   0.000000   NO         0         
T22.1            0.150000   0.015000   0.000000   NO         0         
T23.1            0.150000   0.015000   0.000000   NO         0         
T27.1            0.150000   0.015000   0.000000   NO         0         
T28.1            0.150000   0.015000   0.000000   NO         0         
T29.1            0.150000   0.015000   0.000000   NO         0         
T30.1            0.150000   0.015000   0.000000   NO         0         
T34.1            0.150000   0.015000   0.000000   NO         0         
tz154.2          0.150000   0.015000   0.000000   NO         0         
T38.1            0.150000   0.015000   0.000000   NO         0         
T39.1            0.150000   0.015000   0.000000   NO         0         
T40.1            0.150000   0.015000   0.000000   NO         0         
T46.3            0.150000   0.015000   0.000000   NO         0         
T47.2            0.150000   0.015000   0.000000   NO         0         
T48.1            0.150000   0.015000   0.000000   NO         0         
T49.1            0.150000   0.015000   0.000000   NO         0         
T52.2            0.150000   0.015000   0.000000   NO         0         
T53.1            0.150000   0.015000   0.000000   NO         0         
T54.1            0.150000   0.015000   0.000000   NO         0         
T55.1            0.150000   0.015000   0.000000   NO         0         
T57.1            0.150000   0.015000   0.000000   NO         0         
T58.1            0.150000   0.015000   0.000000   NO         0         
T60.1            0.150000   0.015000   0.000000   NO         0         
T15.1            0.150000   0.015000   0.000000   NO         0         
T4.1             0.150000   0.015000   0.000000   NO         0         
T56.1            0.150000   0.015000   0.000000   NO         0         
T41.1            0.150000   0.015000   0.000000   NO         0         
tz52.1           0.150000   0.015000   0.000000   NO         0         
T61.1            0.150000   0.015000   0.000000   NO         0         
T35.1            0.150000   0.015000   0.000000   NO         0         
T13.1            0.150000   0.015000   0.000000   NO         0         
T16.1            0.150000   0.015000   0.000000   NO         0         
T45.1            0.150000   0.015000   0.000000   NO         0         
T59.1            0.150000   0.015000   0.000000   NO         0         
tz1.1            0.150000   0.015000   0.000000   NO         0         
tz2.1            0.150000   0.015000   0.000000   NO         0         
tz3.1            0.150000   0.015000   0.000000   NO         0         
tz4.1            0.150000   0.015000   0.000000   NO         0         
tz5.1            0.150000   0.015000   0.000000   NO         0         
tz6.1            0.150000   0.015000   0.000000   NO         0         
tz7.1            0.150000   0.015000   0.000000   NO         0         
tz8.1            0.150000   0.015000   0.000000   NO         0         
tz9.1            0.150000   0.015000   0.000000   NO         0         
tz10.1           0.150000   0.015000   0.000000   NO         0         
tz11.1           0.150000   0.015000   0.000000   NO         0         
tz12.1           0.150000   0.015000   0.000000   NO         0         
tz13.1           0.150000   0.015000   0.000000   NO         0         
tz14.1           0.150000   0.015000   0.000000   NO         0         
tz15.1           0.150000   0.015000   0.000000   NO         0         
tz16.1           0.150000   0.015000   0.000000   NO         0         
tz17.1           0.150000   0.015000   0.000000   NO         0         
tz18.1           0.150000   0.015000   0.000000   NO         0         
tz23.1           0.150000   0.015000   0.000000   NO         0         
tz24.1           0.150000   0.015000   0.000000   NO         0         
tz25.1           0.150000   0.015000   0.000000   NO         0         
tz26.1           0.150000   0.015000   0.000000   NO         0         
tz27.1           0.150000   0.015000   0.000000   NO         0         
tz28.1           0.150000   0.015000   0.000000   NO         0         
tz29.1           0.150000   0.015000   0.000000   NO         0         
tz30.1           0.150000   0.015000   0.000000   NO         0         
tz31.1           0.150000   0.015000   0.000000   NO         0         
tz36.1           0.150000   0.015000   0.000000   NO         0         
tz37.1           0.150000   0.015000   0.000000   NO         0         
tz38.1           0.150000   0.015000   0.000000   NO         0         
tz39.1           0.150000   0.015000   0.000000   NO         0         
tz40.1           0.150000   0.015000   0.000000   NO         0         
tz41.1           0.150000   0.015000   0.000000   NO         0         
tz42.1           0.150000   0.015000   0.000000   NO         0         
tz43.1           0.150000   0.015000   0.000000   NO         0         
tz44.1           0.150000   0.015000   0.000000   NO         0         
tz45.1           0.150000   0.015000   0.000000   NO         0         
tz46.1           0.150000   0.015000   0.000000   NO         0         
tz47.1           0.150000   0.015000   0.000000   NO         0         
tz48.1           0.150000   0.015000   0.000000   NO         0         
tz49.1           0.150000   0.015000   0.000000   NO         0         
tz50.1           0.150000   0.015000   0.000000   NO         0         
tz51.1           0.150000   0.015000   0.000000   NO         0         
T60.2            0.150000   0.015000   0.000000   NO         0         
tz53.1           0.150000   0.015000   0.000000   NO         0         
tz54.1           0.150000   0.015000   0.000000   NO         0         
tz55.1           0.150000   0.015000   0.000000   NO         0         
tz56.1           0.150000   0.015000   0.000000   NO         0         
tz57.1           0.150000   0.015000   0.000000   NO         0         
tz58.1           0.150000   0.015000   0.000000   NO         0         
tz59.1           0.150000   0.015000   0.000000   NO         0         
tz60.1           0.150000   0.015000   0.000000   NO         0         
tz61.1           0.150000   0.015000   0.000000   NO         0         
tz62.1           0.150000   0.015000   0.000000   NO         0         
tz63.1           0.150000   0.015000   0.000000   NO         0         
tz64.1           0.150000   0.015000   0.000000   NO         0         
tz65.1           0.150000   0.015000   0.000000   NO         0         
tz66.1           0.150000   0.015000   0.000000   NO         0         
tz67.1           0.150000   0.015000   0.000000   NO         0         
tz68.1           0.150000   0.015000   0.000000   NO         0         
tz69.1           0.150000   0.015000   0.000000   NO         0         
tz70.1           0.150000   0.015000   0.000000   NO         0         
tz71.1           0.150000   0.015000   0.000000   NO         0         
tz72.1           0.150000   0.015000   0.000000   NO         0         
tz73.1           0.150000   0.015000   0.000000   NO         0         
tz74.1           0.150000   0.015000   0.000000   NO         0         
tz75.2           0.150000   0.015000   0.000000   NO         0         
tz76.2           0.150000   0.015000   0.000000   NO         0         
tz77.2           0.150000   0.015000   0.000000   NO         0         
tz78.2           0.150000   0.015000   0.000000   NO         0         
tz79.2           0.150000   0.015000   0.000000   NO         0         
tz80.2           0.150000   0.015000   0.000000   NO         0         
tz81.3           0.150000   0.015000   0.000000   NO         0         
tz82.3           0.150000   0.015000   0.000000   NO         0         
tz83.2           0.150000   0.015000   0.000000   NO         0         
tz84.2           0.150000   0.015000   0.000000   NO         0         
tz85.2           0.150000   0.015000   0.000000   NO         0         
tz86.2           0.150000   0.015000   0.000000   NO         0         
tz87.2           0.150000   0.015000   0.000000   NO         0         
tz88.2           0.150000   0.015000   0.000000   NO         0         
tz89.2           0.150000   0.015000   0.000000   NO         0         
tz90.1           0.150000   0.015000   0.000000   NO         0         
tz91.2           0.150000   0.015000   0.000000   NO         0         
tz92.2           0.150000   0.015000   0.000000   NO         0         
tz93.2           0.150000   0.015000   0.000000   NO         0         
tz94.2           0.150000   0.015000   0.000000   NO         0         
tz95.2           0.150000   0.015000   0.000000   NO         0         
tz96.2           0.150000   0.015000   0.000000   NO         0         
tz97.2           0.150000   0.015000   0.000000   NO         0         
tz98.2           0.150000   0.015000   0.000000   NO         0         
tz99.2           0.150000   0.015000   0.000000   NO         0         
tz100.2          0.150000   0.015000   0.000000   NO         0         
tz101.2          0.150000   0.015000   0.000000   NO         0         
tz102.2          0.150000   0.015000   0.000000   NO         0         
tz103.2          0.150000   0.015000   0.000000   NO         0         
tz104.2          0.150000   0.015000   0.000000   NO         0         
tz105.1          0.150000   0.015000   0.000000   NO         0         
tz106.1          0.150000   0.015000   0.000000   NO         0         
tz107.1          0.150000   0.015000   0.000000   NO         0         
tz108.1          0.150000   0.015000   0.000000   NO         0         
tz109.1          0.150000   0.015000   0.000000   NO         0         
tz110.1          0.150000   0.015000   0.000000   NO         0         
