[Polygons]
;;Subcatchment   X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
S22981           504824.100         321343.295        
S22981           505173.946         321366.565        
S22981           505176.798         321355.599        
S22981           505177.858         321324.880        
S22981           504826.824         321302.986        
S22981           504825.475         321304.027        
S22981           504824.100         321343.295        
S21758           505112.762         320851.937        
S21758           505139.851         320884.852        
S21758           505182.678         320930.926        
S21758           505225.660         320971.936        
S21758           505266.819         321008.090        
S21758           505436.284         320895.557        
S21758           505307.173         320676.130        
S21758           505176.401         320371.120        
S21758           505112.762         320851.937        
S21553           504889.802         320285.122        
S21553           504958.970         320721.333        
S21553           504959.467         320721.853        
S21553           505016.141         320762.826        
S21553           504937.642         320267.049        
S21553           504889.802         320285.122        
S21828           504847.241         320941.553        
S21828           504849.971         320945.613        
S21828           505225.660         320971.936        
S21828           505182.678         320930.926        
S21828           504854.097         320912.396        
S21828           504847.241         320941.553        
S22059           504796.897         321707.832        
S22059           504800.289         321741.617        
S22059           505137.847         321763.918        
S22059           505140.727         321728.318        
S22059           504797.848         321706.956        
S22059           504796.897         321707.832        
S25360           504815.060         320682.238        
S25360           504831.301         320711.499        
S25360           504832.849         320712.383        
S25360           504904.178         320686.962        
S25360           504902.559         320684.876        
S25360           504856.317         320661.026        
S25360           504815.468         320680.383        
S25360           504815.060         320682.238        
S22075           504562.289         320822.800        
S22075           504659.106         320790.945        
S22075           504831.301         320711.499        
S22075           504815.060         320682.238        
S22075           504570.288         320796.953        
S22075           504562.289         320822.800        
S22863           505071.488         320783.020        
S22863           505071.915         320808.034        
S22863           505073.940         320810.676        
S22863           505099.792         320839.144        
S22863           505112.762         320851.937        
S22863           505176.401         320371.120        
S22863           505163.893         320341.947        
S22863           505133.441         320314.089        
S22863           505071.488         320783.020        
S22980           504842.099         320303.143        
S22980           504902.559         320684.876        
S22980           504904.178         320686.962        
S22980           504958.970         320721.333        
S22980           504889.802         320285.122        
S22980           504842.099         320303.143        
S22160           504711.001         320353.512        
S22160           504856.317         320661.026        
S22160           504902.559         320684.876        
S22160           504842.099         320303.143        
S22160           504711.672         320352.415        
S22160           504711.001         320353.512        
S22056           504570.288         320796.953        
S22056           504815.060         320682.238        
S22056           504815.468         320680.383        
S22056           504681.086         320395.518        
S22056           504668.431         320410.720        
S22056           504659.378         320423.331        
S22056           504590.978         320714.931        
S22056           504588.872         320715.564        
S22056           504570.288         320796.953        
S22057           504668.431         320410.720        
S22057           504681.086         320395.518        
S22057           504815.468         320680.383        
S22057           504856.317         320661.026        
S22057           504711.001         320353.512        
S22057           504711.672         320352.415        
S22057           504709.778         320353.131        
S22057           504668.431         320410.720        
S21812           504988.597         320259.677        
S21812           505071.488         320783.020        
S21812           505133.441         320314.089        
S21812           505163.893         320341.947        
S21812           505152.087         320314.410        
S21812           505098.759         320276.521        
S21812           505069.778         320255.931        
S21812           504988.597         320259.677        
S21688           504832.849         320712.383        
S21688           504840.280         320748.257        
S21688           504840.811         320748.639        
S21688           504959.467         320721.853        
S21688           504958.970         320721.333        
S21688           504904.178         320686.962        
S21688           504832.849         320712.383        
S21554           504937.642         320267.049        
S21554           505016.141         320762.826        
S21554           505023.057         320769.843        
S21554           505071.915         320808.034        
S21554           505071.488         320783.020        
S21554           504988.597         320259.677        
S21554           504952.778         320261.331        
S21554           504937.642         320267.049        
S23200           504851.574         320909.103        
S23200           504854.097         320912.396        
S23200           505182.678         320930.926        
S23200           505139.851         320884.852        
S23200           504853.316         320877.797        
S23200           504851.574         320909.103        
S21685           504553.910         320841.326        
S21685           504848.547         320784.310        
S21685           504848.895         320783.815        
S21685           504840.811         320748.639        
S21685           504840.280         320748.257        
S21685           504659.106         320790.945        
S21685           504562.289         320822.800        
S21685           504553.910         320841.326        
S22982           504821.695         321092.650        
S22982           504837.332         321137.551        
S22982           505209.695         321161.079        
S22982           505226.635         321110.046        
S22982           504840.646         321086.059        
S22982           504821.695         321092.650        
S23870           504848.547         320784.310        
S23870           504850.874         320818.841        
S23870           504852.444         320820.460        
S23870           505073.940         320810.676        
S23870           505071.915         320808.034        
S23870           505023.057         320769.843        
S23870           504848.895         320783.815        
S23870           504848.547         320784.310        
S23198           504347.568         320852.789        
S23198           504847.241         320941.553        
S23198           504854.097         320912.396        
S23198           504851.574         320909.103        
S23198           504523.334         320884.946        
S23198           504347.568         320852.789        
S21687           504840.811         320748.639        
S21687           504848.895         320783.815        
S21687           505023.057         320769.843        
S21687           505016.141         320762.826        
S21687           504959.467         320721.853        
S21687           504840.811         320748.639        
S21777           504852.949         320877.352        
S21777           504853.316         320877.797        
S21777           505139.851         320884.852        
S21777           505112.762         320851.937        
S21777           505099.792         320839.144        
S21777           504853.654         320850.167        
S21777           504852.949         320877.352        
S23199           504840.908         321023.116        
S23199           504843.693         321026.456        
S23199           505251.639         321052.822        
S23199           505264.157         321014.767        
S23199           504850.068         320985.219        
S23199           504840.908         321023.116        
S22055           504523.334         320884.946        
S22055           504851.574         320909.103        
S22055           504853.316         320877.797        
S22055           504852.949         320877.352        
S22055           504538.786         320867.047        
S22055           504523.334         320884.946        
S22983           504840.646         321086.059        
S22983           505226.635         321110.046        
S22983           505249.087         321061.867        
S22983           505251.639         321052.822        
S22983           504843.693         321026.456        
S22983           504840.646         321086.059        
S22979           504309.053         320872.643        
S22979           504846.005         320981.278        
S22979           504849.971         320945.613        
S22979           504847.241         320941.553        
S22979           504347.568         320852.789        
S22979           504309.053         320872.643        
S21827           504846.005         320981.278        
S21827           504850.068         320985.219        
S21827           505264.157         321014.767        
S21827           505266.819         321008.090        
S21827           505225.660         320971.936        
S21827           504849.971         320945.613        
S21827           504846.005         320981.278        
S22862           504286.420         320886.143        
S22862           504840.908         321023.116        
S22862           504850.068         320985.219        
S22862           504846.005         320981.278        
S22862           504309.053         320872.643        
S22862           504286.420         320886.143        
S22014           504266.567         320896.864        
S22014           504821.695         321092.650        
S22014           504840.646         321086.059        
S22014           504843.693         321026.456        
S22014           504840.908         321023.116        
S22014           504286.420         320886.143        
S22014           504266.567         320896.864        
S21778           504851.978         320847.761        
S21778           504853.654         320850.167        
S21778           505099.792         320839.144        
S21778           505073.940         320810.676        
S21778           504852.444         320820.460        
S21778           504851.978         320847.761        
S21757           504541.233         320863.340        
S21757           504851.978         320847.761        
S21757           504852.444         320820.460        
S21757           504850.874         320818.841        
S21757           504549.901         320848.912        
S21757           504541.233         320863.340        
S21686           504659.106         320790.945        
S21686           504840.280         320748.257        
S21686           504832.849         320712.383        
S21686           504831.301         320711.499        
S21686           504659.106         320790.945        
S21756           504538.786         320867.047        
S21756           504852.949         320877.352        
S21756           504853.654         320850.167        
S21756           504851.978         320847.761        
S21756           504541.233         320863.340        
S21756           504538.786         320867.047        
S21776           504549.901         320848.912        
S21776           504850.874         320818.841        
S21776           504848.547         320784.310        
S21776           504553.910         320841.326        
S21776           504549.901         320848.912        
S21696           504100.078         320926.136        
S21696           504828.038         321261.307        
S21696           504866.164         321232.393        
S21696           504163.727         320955.232        
S21696           504100.078         320926.136        
S22074           503908.014         321323.107        
S22074           504820.650         321383.243        
S22074           504821.820         321382.247        
S22074           504822.268         321344.798        
S22074           503954.606         321155.178        
S22074           503908.014         321323.107        
S22013           504193.109         320938.159        
S22013           504831.656         321181.976        
S22013           504837.332         321137.551        
S22013           504821.695         321092.650        
S22013           504266.567         320896.864        
S22013           504193.109         320938.159        
