[TIMESERIES]
;;Name           Date       Time       Value     
;;-------------- ---------- ---------- ----------
RainGage1        7/21/2012  11:05      0         
RainGage1        7/21/2012  11:10      0         
RainGage1        7/21/2012  11:15      0         
RainGage1        7/21/2012  11:20      0         
RainGage1        7/21/2012  11:25      0         
RainGage1        7/21/2012  11:30      1.2       
RainGage1        7/21/2012  11:35      0         
RainGage1        7/21/2012  11:40      1.2       
RainGage1        7/21/2012  11:45      1.2       
RainGage1        7/21/2012  11:50      1.2       
RainGage1        7/21/2012  11:55      2.4       
RainGage1        7/21/2012  12:00      1.2       
RainGage1        7/21/2012  12:05      1.2       
RainGage1        7/21/2012  12:10      1.2       
RainGage1        7/21/2012  12:15      1.2       
RainGage1        7/21/2012  12:20      0         
RainGage1        7/21/2012  12:25      1.2       
RainGage1        7/21/2012  12:30      0         
RainGage1        7/21/2012  12:35      1.2       
RainGage1        7/21/2012  12:40      1.2       
RainGage1        7/21/2012  12:45      0         
RainGage1        7/21/2012  12:50      0         
RainGage1        7/21/2012  12:55      1.2       
RainGage1        7/21/2012  13:00      2.4       
RainGage1        7/21/2012  13:05      1.2       
RainGage1        7/21/2012  13:10      0         
RainGage1        7/21/2012  13:15      0         
RainGage1        7/21/2012  13:20      1.2       
RainGage1        7/21/2012  13:25      1.2       
RainGage1        7/21/2012  13:30      4.8       
RainGage1        7/21/2012  13:35      3.6       
RainGage1        7/21/2012  13:40      6         
RainGage1        7/21/2012  13:45      9.6       
RainGage1        7/21/2012  13:50      31.2      
RainGage1        7/21/2012  13:55      49.2      
RainGage1        7/21/2012  14:00      78        
RainGage1        7/21/2012  14:05      67.2      
RainGage1        7/21/2012  14:10      64.8      
RainGage1        7/21/2012  14:15      61.2      
RainGage1        7/21/2012  14:20      12        
RainGage1        7/21/2012  14:25      4.8       
RainGage1        7/21/2012  14:30      2.4       
RainGage1        7/21/2012  14:35      2.4       
RainGage1        7/21/2012  14:40      14.4      
RainGage1        7/21/2012  14:45      42        
RainGage1        7/21/2012  14:50      32.4      
RainGage1        7/21/2012  14:55      82.8      
RainGage1        7/21/2012  15:00      224.4     
RainGage1        7/21/2012  15:05      96        
RainGage1        7/21/2012  15:10      2.4       
RainGage1        7/21/2012  15:15      0         
RainGage1        7/21/2012  15:20      1.2       
RainGage1        7/21/2012  15:25      1.2       
RainGage1        7/21/2012  15:30      1.2       
RainGage1        7/21/2012  15:35      1.2       
RainGage1        7/21/2012  15:40      2.4       
RainGage1        7/21/2012  15:45      2.4       
RainGage1        7/21/2012  15:50      6         
RainGage1        7/21/2012  15:55      22.8      
RainGage1        7/21/2012  16:00      16.8      
RainGage1        7/21/2012  16:05      9.6       
RainGage1        7/21/2012  16:10      10.8      
RainGage1        7/21/2012  16:15      10.8      
RainGage1        7/21/2012  16:20      7.2       
RainGage1        7/21/2012  16:25      7.2       
RainGage1        7/21/2012  16:30      3.6       
RainGage1        7/21/2012  16:35      6         
RainGage1        7/21/2012  16:40      3.6       
RainGage1        7/21/2012  16:45      12        
RainGage1        7/21/2012  16:50      10.8      
RainGage1        7/21/2012  16:55      7.2       
RainGage1        7/21/2012  17:00      6         
RainGage1        7/21/2012  17:05      6         
RainGage1        7/21/2012  17:10      4.8       
RainGage1        7/21/2012  17:15      4.8       
RainGage1        7/21/2012  17:20      2.4       
RainGage1        7/21/2012  17:25      2.4       
RainGage1        7/21/2012  17:30      1.2       
RainGage1        7/21/2012  17:35      6         
RainGage1        7/21/2012  17:40      52.8      
RainGage1        7/21/2012  17:45      94.8      
RainGage1        7/21/2012  17:50      62.4      
RainGage1        7/21/2012  17:55      33.6      
RainGage1        7/21/2012  18:00      26.4      
RainGage1        7/21/2012  18:05      22.8      
RainGage1        7/21/2012  18:10      31.2      
RainGage1        7/21/2012  18:15      43.2      
RainGage1        7/21/2012  18:20      21.6      
RainGage1        7/21/2012  18:25      43.2      
RainGage1        7/21/2012  18:30      48        
RainGage1        7/21/2012  18:35      43.2      
RainGage1        7/21/2012  18:40      30        
RainGage1        7/21/2012  18:45      28.8      
RainGage1        7/21/2012  18:50      24        
RainGage1        7/21/2012  18:55      40.8      
RainGage1        7/21/2012  19:00      46.8      
RainGage1        7/21/2012  19:05      79.2      
RainGage1        7/21/2012  19:10      84        
RainGage1        7/21/2012  19:15      73.2      
RainGage1        7/21/2012  19:20      37.2      
RainGage1        7/21/2012  19:25      26.4      
RainGage1        7/21/2012  19:30      34.8      
RainGage1        7/21/2012  19:35      32.4      
RainGage1        7/21/2012  19:40      12        
RainGage1        7/21/2012  19:45      6         
RainGage1        7/21/2012  19:50      8.4       
RainGage1        7/21/2012  19:55      20.4      
RainGage1        7/21/2012  20:00      34.8      
RainGage1        7/21/2012  20:05      12        
RainGage1        7/21/2012  20:10      8.4       
RainGage1        7/21/2012  20:15      7.2       
RainGage1        7/21/2012  20:20      7.2       
RainGage1        7/21/2012  20:25      4.8       
RainGage1        7/21/2012  20:30      7.2       
RainGage1        7/21/2012  20:35      3.6       
RainGage1        7/21/2012  20:40      2.4       
RainGage1        7/21/2012  20:45      3.6       
RainGage1        7/21/2012  20:50      4.8       
RainGage1        7/21/2012  20:55      2.4       
RainGage1        7/21/2012  21:00      3.6       
RainGage1        7/21/2012  21:05      2.4       
RainGage1        7/21/2012  21:10      2.4       
RainGage1        7/21/2012  21:15      7.2       
RainGage1        7/21/2012  21:20      6         
RainGage1        7/21/2012  21:25      4.8       
RainGage1        7/21/2012  21:30      10.8      
RainGage1        7/21/2012  21:35      38.4      
RainGage1        7/21/2012  21:40      25.2      
RainGage1        7/21/2012  21:45      19.2      
RainGage1        7/21/2012  21:50      27.6      
RainGage1        7/21/2012  21:55      20.4      
RainGage1        7/21/2012  22:00      10.8      
RainGage1        7/21/2012  22:05      4.8       
RainGage1        7/21/2012  22:10      6         
RainGage1        7/21/2012  22:15      13.2      
RainGage1        7/21/2012  22:20      20.4      
RainGage1        7/21/2012  22:25      9.6       
RainGage1        7/21/2012  22:30      7.2       
RainGage1        7/21/2012  22:35      4.8       
RainGage1        7/21/2012  22:40      4.8       
RainGage1        7/21/2012  22:45      3.6       
RainGage1        7/21/2012  22:50      1.2       
RainGage1        7/21/2012  22:55      3.6       
RainGage1        7/21/2012  23:00      3.6       
RainGage1        7/21/2012  23:05      1.2       
